INSEE_COM;CLPE
01001;Dombes - Saône - Côtière
01002;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01004;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01005;Dombes - Saône - Côtière
01006;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01007;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01008;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01009;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01010;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01011;Haut Bugey Agglomération - Valserhône - Pays de Gex
01012;Haut Bugey Agglomération - Valserhône - Pays de Gex
01013;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01014;Haut Bugey Agglomération - Valserhône - Pays de Gex
01015;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01016;Grand Bourg Agglomération - Bresse - Veyle
01017;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01019;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01021;Dombes - Saône - Côtière
01022;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01023;Grand Bourg Agglomération - Bresse - Veyle
01024;Grand Bourg Agglomération - Bresse - Veyle
01025;Grand Bourg Agglomération - Bresse - Veyle
01026;Grand Bourg Agglomération - Bresse - Veyle
01027;Dombes - Saône - Côtière
01028;Dombes - Saône - Côtière
01029;Grand Bourg Agglomération - Bresse - Veyle
01030;Dombes - Saône - Côtière
01031;Haut Bugey Agglomération - Valserhône - Pays de Gex
01032;Dombes - Saône - Côtière
01033;Haut Bugey Agglomération - Valserhône - Pays de Gex
01034;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01035;Haut Bugey Agglomération - Valserhône - Pays de Gex
01036;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01037;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01038;Grand Bourg Agglomération - Bresse - Veyle
01040;Grand Bourg Agglomération - Bresse - Veyle
01041;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01042;Grand Bourg Agglomération - Bresse - Veyle
01043;Dombes - Saône - Côtière
01044;Haut Bugey Agglomération - Valserhône - Pays de Gex
01045;Dombes - Saône - Côtière
01046;Grand Bourg Agglomération - Bresse - Veyle
01047;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01049;Dombes - Saône - Côtière
01050;Grand Bourg Agglomération - Bresse - Veyle
01051;Haut Bugey Agglomération - Valserhône - Pays de Gex
01052;Dombes - Saône - Côtière
01053;Grand Bourg Agglomération - Bresse - Veyle
01054;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01056;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01057;Grand Bourg Agglomération - Bresse - Veyle
01058;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01060;Haut Bugey Agglomération - Valserhône - Pays de Gex
01061;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01062;Dombes - Saône - Côtière
01063;Haut Bugey Agglomération - Valserhône - Pays de Gex
01064;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01065;Grand Bourg Agglomération - Bresse - Veyle
01066;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01067;Haut Bugey Agglomération - Valserhône - Pays de Gex
01068;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01069;Grand Bourg Agglomération - Bresse - Veyle
01071;Haut Bugey Agglomération - Valserhône - Pays de Gex
01072;Grand Bourg Agglomération - Bresse - Veyle
01073;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01074;Dombes - Saône - Côtière
01075;Dombes - Saône - Côtière
01076;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01077;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01078;Haut Bugey Agglomération - Valserhône - Pays de Gex
01079;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01080;Haut Bugey Agglomération - Valserhône - Pays de Gex
01081;Haut Bugey Agglomération - Valserhône - Pays de Gex
01082;Haut Bugey Agglomération - Valserhône - Pays de Gex
01083;Dombes - Saône - Côtière
01084;Grand Bourg Agglomération - Bresse - Veyle
01085;Dombes - Saône - Côtière
01087;Haut Bugey Agglomération - Valserhône - Pays de Gex
01088;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01089;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01090;Dombes - Saône - Côtière
01092;Dombes - Saône - Côtière
01093;Dombes - Saône - Côtière
01094;Grand Bourg Agglomération - Bresse - Veyle
01095;Grand Bourg Agglomération - Bresse - Veyle
01096;Grand Bourg Agglomération - Bresse - Veyle
01098;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01099;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01100;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01101;Haut Bugey Agglomération - Valserhône - Pays de Gex
01102;Grand Bourg Agglomération - Bresse - Veyle
01103;Haut Bugey Agglomération - Valserhône - Pays de Gex
01104;Haut Bugey Agglomération - Valserhône - Pays de Gex
01105;Dombes - Saône - Côtière
01106;Grand Bourg Agglomération - Bresse - Veyle
01107;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01108;Grand Bourg Agglomération - Bresse - Veyle
01109;Haut Bugey Agglomération - Valserhône - Pays de Gex
01110;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01111;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01112;Haut Bugey Agglomération - Valserhône - Pays de Gex
01113;Dombes - Saône - Côtière
01114;Haut Bugey Agglomération - Valserhône - Pays de Gex
01115;Grand Bourg Agglomération - Bresse - Veyle
01116;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01117;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
